Symbol,Name,Market Cap
L,Loews Corporation,1.0745851
LOW,Lowe's,1.7475166
LULU,Lululemon Athletica,5.0497017
LYB,LyondellBasell,0.6035279
MTB,M&T Bank,3.9286907
MRO,Marathon Oil,
MPC,Marathon Petroleum,0.32823712
MKTX,MarketAxess,10.245476
MAR,Marriott International,12.291162
MMC,Marsh McLennan,4.4482994
MLM,Martin Marietta Materials,5.105874
MAS,Masco,2.1700811
MA,Mastercard,19.002762
MTCH,Match Group,2.5718384
MKC,McCormick & Company,3.0984054
MCD,McDonald's,8.020798
MCK,McKesson Corporation,0.22865091
MDT,Medtronic,3.5748405
MRK,Merck & Co.,3.956992
META,Meta Platforms,11.141612
MET,MetLife,0.83961165
MTD,Mettler Toledo,7.6532793
MGM,MGM Resorts,0.5961143
MCHP,Microchip Technology,5.3050323
MU,Micron Technology,4.10422
MSFT,Microsoft,12.138745
MAA,Mid-America Apartment Communities,8.38263
MRNA,Moderna,2.9855392
MHK,Mohawk Industries,0.713996
MOH,Molina Healthcare,0.4729238
TAP,Molson Coors Beverage Company,0.96613216
MDLZ,Mondelez International,2.1449933
MPWR,Monolithic Power Systems,15.244774
MNST,Monster Beverage,6.3922386
MCO,Moody's Corporation,13.125582
MS,Morgan Stanley,3.8169074
MOS,Mosaic Company (The),0.7732899
MSI,Motorola Solutions,7.3600683
MSCI,MSCI,16.687202
NDAQ,"Nasdaq, Inc.",6.7444167
NTAP,NetApp,3.8926866
NFLX,Netflix,11.115886
NEM,Newmont,2.887844
NWSA,News Corp (Class A),1.6356583
NWS,News Corp (Class B),1.6359154
NEE,NextEra Energy,5.6067963
NKE,"Nike, Inc.",2.316641
NI,NiSource,3.291713
NDSN,Nordson Corporation,4.71784
NSC,Norfolk Southern Railway,4.7469397
NTRS,Northern Trust,2.8005333
NOC,Northrop Grumman,1.7233319
NCLH,Norwegian Cruise Line Holdings,1.3322719
NRG,NRG Energy,0.7379921
NUE,Nucor,0.96154976
NVDA,Nvidia,31.697422
NVR,"NVR, Inc.",2.4237614
NXPI,NXP Semiconductors,4.100908
ORLY,O'Reilly Auto Parts,4.5441327
OXY,Occidental Petroleum,1.6130635
ODFL,Old Dominion,6.6886916
OMC,Omnicom Group,1.1053154
ON,ON Semiconductor,3.0206718
OKE,ONEOK,2.8417974
ORCL,Oracle Corporation,8.838633
OTIS,Otis Worldwide,2.6831317
PCAR,Paccar,1.6692687
PKG,Packaging Corporation of America,2.3361073
PLTR,Palantir Technologies,71.009026
PANW,Palo Alto Networks,15.075229
PARA,Paramount Global,0.26774442
PH,Parker Hannifin,4.553738
PAYX,Paychex,10.011769
PAYC,Paycom,6.561862
PYPL,PayPal,2.854598
PNR,Pentair,4.1839423
PEP,PepsiCo,2.267252
PFE,Pfizer,2.531176
PCG,PG&E Corporation,1.3825941
PM,Philip Morris International,5.4391265
PSX,Phillips 66,0.32949555
PNW,Pinnacle West,1.969168
PNC,PNC Financial Services,3.8841798
POOL,Pool Corporation,2.4595037
PPG,PPG Industries,1.4846455
PPL,PPL Corporation,2.9939377
PFG,Principal Financial Group,1.3406645
PG,Procter & Gamble,4.6388373
PGR,Progressive Corporation,2.0062325
PLD,Prologis,13.40497
PRU,Prudential Financial,0.58907205
PTC,PTC Inc.,10.131287
PEG,Public Service Enterprise Group,3.9905767
PSA,Public Storage,11.128495
PHM,PulteGroup,1.3473346
QRVO,Qorvo,1.9630218
QCOM,Qualcomm,4.906193
PWR,Quanta Services,1.9825476
DGX,Quest Diagnostics,1.8913206
RL,Ralph Lauren Corporation,2.3005512
RJF,Raymond James Financial,2.6981065
O,Realty Income,9.536263
REG,Regency Centers,8.805218
REGN,Regeneron Pharmaceuticals,5.3407407
RF,Regions Financial Corporation,3.4158645
RSG,Republic Services,4.2935257
RMD,ResMed,7.2117286
RVTY,Revvity,5.6402583
ROK,Rockwell Automation,3.808206
ROL,"Rollins, Inc.",7.273436
ROP,Roper Technologies,9.110097
ROST,Ross Stores,2.3550117
RCL,Royal Caribbean Group,4.465197
RTX,RTX Corporation,2.1719465
SPGI,S&P Global,11.751417
CRM,Salesforce,9.016767
SBAC,SBA Communications,7.9829307
SLB,Schlumberger,1.5964173
STX,Seagate Technology,2.8639545
SRE,Sempra,4.066247
NOW,ServiceNow,20.09578
SHW,Sherwin-Williams,3.912797
SPG,Simon Property Group,11.0475025
SWKS,Skyworks Solutions,3.2635002
SW,Smurfit WestRock,1.6805674
SNA,Snap-on,3.6530967
SOLV,Solventum,1.5574416
SO,Southern Company,3.4804878
LUV,Southwest Airlines,0.6727763
SWK,Stanley Black & Decker,0.8826868
SBUX,Starbucks,3.4226072
STT,State Street Corporation,2.3385723
STLD,Steel Dynamics,1.1116264
STE,Steris,4.0896935
SYK,Stryker Corporation,6.788296
SMCI,Supermicro,1.117612
SYF,Synchrony Financial,2.9737911
SNPS,Synopsys,12.528483
SYY,Sysco,0.4475668
TMUS,T-Mobile US,3.33291
TROW,T. Rowe Price,3.7584221
TTWO,Take-Two Interactive,5.970417
TPR,"Tapestry, Inc.",2.5500932
TRGP,Targa Resources,2.6464968
